FEATURES_TXT_BEGIN_0 0 33 14 LexicalReordering0_0 LexicalReordering0_1 LexicalReordering0_2 LexicalReordering0_3 LexicalReordering0_4 LexicalReordering0_5 Distortion0_0 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-0.743966 0 0 -0.0530934 0 0 0 -23.5171 -11 3 -4.18461 -11.1019 -2.25993 -5.98726 
-0.112796 -4.47213 -1.08424 -0.0126588 -5.02166 -0.540224 -14 -27.1094 -12 5 -3.98621 -10.0456 -1.05325 -6.37941 
-4.41872 0 0 -0.0808726 0 0 0 -23.7404 -11 4 -6.36886 -11.1138 -3.50037 -6.09646 
-0.112796 -4.47213 -1.08335 -0.0117649 -5.02166 -0.540224 -14 -27.0982 -12 5 -4.1521 -10.0338 -0.979139 -6.27021 
-2.51121 0 0 -1.65377 0 0 0 -29.963 -12 4 -1.54537 -10.0338 -0.0935198 -6.27021 
-1.99007 0 0 -0.374805 0 0 0 -23.4744 -13 4 -6.27545 -11.1019 -6.37921 -9.18954 
-0.112796 -4.47213 -0.659285 -0.0126588 -3.77572 -0.540224 -14 -29.6416 -13 5 -3.77494 -9.66167 -2.41138 -9.03591 
-1.07497 0 0 -0.3841 0 0 0 -25.7382 -12 3 -3.7013 -15.8934 -6.77079 -13.4972 
-0.112796 -4.47213 -0.658391 -0.0117649 -3.77572 -0.540224 -14 -29.6304 -13 5 -3.94083 -9.64978 -2.33727 -8.92671 
-0.112796 -5.90536 -1.08424 -0.0126588 -4.29046 -5.90536 -12 -23.1483 -11 4 -6.62545 -11.1138 -3.21966 -6.09646 
-0.112796 -5.90536 -1.08335 -0.0117649 -4.29046 -5.90536 -12 -23.1371 -11 4 -6.79134 -11.1019 -3.14555 -5.98727 
-0.112796 -0.705455 -1.26283 -0.0476284 -0.731196 -0.540224 -6 -32.9875 -12 4 -1.54537 -10.0338 -0.0935198 -6.27021 
-0.112796 -4.82831 -1.08424 -0.0126588 -4.29046 -0.0161294 -12 -25.2046 -11 4 -7.71723 -11.2815 -4.31279 -6.10017 
-0.112796 -4.82831 -1.08335 -0.0117649 -4.29046 -0.0161294 -12 -25.1539 -11 4 -7.88312 -11.2696 -4.23868 -5.99098 
-6.18596 0 0 -1.68155 0 0 0 -30.1864 -12 5 -3.72962 -10.0456 -1.33396 -6.37941 
-5.43075 0 0 -0.498607 0 0 0 -23.6978 -13 4 -8.4597 -11.1138 -7.23251 -9.29874 
-1.22377 -4.47213 -1.11921 -0.465363 -5.02166 -0.540224 -14 -27.0667 -14 5 -5.82046 -10.0456 -5.0661 -9.58168 
-1.30505 0 0 -0.483183 0 0 0 -29.847 -11 5 -4.86234 -10.9739 -3.16343 -6.91979 
-1.3589 -4.47213 -1.08335 -0.333477 -5.02166 -0.540224 -14 -27.0555 -14 6 -6.24295 -10.0338 -5.09842 -9.47248 
-3.75731 0 0 -1.97548 0 0 0 -29.9203 -14 5 -3.63621 -10.0338 -4.2128 -9.47248 
-0.112796 -5.90536 -0.659285 -0.0126588 -3.04452 -5.90536 -12 -25.6805 -12 4 -6.41418 -10.7299 -4.57778 -8.75296 
