FEATURES_TXT_BEGIN_0 0 54 12 LexicalReordering0_0 LexicalReordering0_1 LexicalReordering0_2 LexicalReordering0_3 Distortion0_0 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-0.704284 0 -0.0268338 0 0 -23.5171 -11 3 -4.18461 -11.1019 -2.25993 -5.98726 
-1.95555 0 -0.344821 0 0 -23.4744 -13 4 -6.27545 -11.1019 -6.37921 -9.18954 
-4.37743 0 -0.0408202 0 0 -23.7404 -11 4 -6.36886 -11.1138 -3.50037 -6.09646 
-0.210506 -0.0386476 -0.0240981 -0.19291 -14 -27.1094 -12 5 -4.81833 -10.0456 -1.31398 -6.37941 
-0.0993729 -0.0204489 -0.00589939 -0.19291 -14 -27.0982 -12 5 -5.24081 -10.0338 -0.959156 -6.27021 
-0.88387 0 -0.20642 0 0 -25.7382 -12 3 -3.7013 -15.8934 -6.77079 -13.4972 
-0.210506 -0.041064 -0.0240981 -0.0169659 -16 -29.6416 -13 5 -3.19475 -9.66166 -3.12628 -9.03591 
-0.0993729 -0.0228653 -0.00589939 -0.0169659 -16 -29.6304 -13 5 -3.61724 -9.64978 -2.77146 -8.92671 
-2.47389 0 -1.62988 0 0 -29.963 -12 4 -1.54537 -10.0338 -0.0935198 -6.27021 
-0.210506 -0.0463751 -0.0240981 -0.200638 -14 -25.2046 -11 5 -8.0662 -11.2815 -4.41244 -6.10018 
-0.0993729 -0.0281765 -0.00589939 -0.200638 -14 -25.1539 -11 5 -8.48869 -11.2696 -4.05762 -5.99098 
-5.38616 0 -0.458555 0 0 -23.6978 -13 4 -8.4597 -11.1138 -7.23251 -9.29874 
-0.95291 0 -0.47414 0 0 -23.6905 -11 4 -8.46561 -14.365 -8.06084 -10.7222 
-1.21924 -0.0386476 -0.441833 -0.19291 -14 -27.0667 -14 5 -6.90917 -10.0456 -5.04612 -9.58168 
-1.21924 -0.0427206 -0.287682 -0.19291 -14 -27.0555 -14 5 -7.16885 -10.0338 -5.20863 -9.47248 
-1.25689 0 -0.428502 0 0 -29.847 -11 4 -4.80735 -10.9739 -3.16343 -6.91979 
-0.210506 -0.0487916 -0.0240981 -0.0246935 -16 -27.7368 -12 5 -6.44263 -10.8976 -6.22474 -8.75668 
-0.0993729 -0.0305929 -0.00589939 -0.0246935 -16 -27.6861 -12 5 -6.86512 -10.8857 -5.86992 -8.64748 
-0.0993729 -1.90622 -0.0240981 -1.196 -6 -32.9875 -12 4 -1.54537 -10.0338 -0.0935198 -6.27021 
-2.13514 0 -0.524407 0 0 -25.6955 -14 4 -5.79214 -15.8934 -10.8901 -16.6995 
-1.01175 0 -0.784294 0 0 -23.4128 -11 4 -9.38972 -14.1325 -8.97713 -10.3328 
-4.55702 0 -0.220406 0 0 -25.9616 -12 4 -5.88555 -15.9053 -8.01123 -13.6064 
-1.21924 -0.041064 -0.441833 -0.0169659 -16 -29.5989 -15 5 -5.28559 -9.66166 -6.85842 -12.2382 
-1.21924 -0.0451371 -0.287682 -0.0169659 -16 -29.5877 -15 5 -5.54527 -9.64978 -7.02093 -12.129 
-0.210506 -0.0515228 -0.0240981 -0.205786 -14 -30.9755 -14 5 -4.93432 -10.0456 -4.9124 -10.3162 
-0.0993729 -0.0333241 -0.00589939 -0.205786 -14 -30.9643 -14 5 -5.35681 -10.0338 -4.55758 -10.207 
-0.210506 -0.0584801 -0.0240981 -0.212743 -14 -30.9756 -14 5 -5.01781 -10.0456 -5.34526 -10.7491 
-1.98285 -0.0382775 -0.898108 -0.8485 -6 -30.1864 -12 6 -4.33519 -10.0456 -1.1529 -6.37941 
-0.0993729 -0.0402815 -0.00589939 -0.212743 -14 -30.9644 -14 5 -5.4403 -10.0338 -4.99044 -10.6399 
-3.72516 0 -1.94787 0 0 -29.9203 -14 5 -3.63621 -10.0338 -4.2128 -9.47248 
-0.210506 -5.94091 -0.0240981 -6.09517 -14 -23.1483 -11 5 -6.97443 -11.1138 -3.31931 -6.09646 
-0.0993729 -5.92271 -0.00589939 -6.09517 -14 -23.1371 -11 5 -7.39691 -11.1019 -2.96449 -5.98727 
-1.21924 -0.0463751 -0.441833 -0.200638 -14 -25.1619 -13 5 -10.157 -11.2815 -8.14458 -9.30245 
-1.21924 -0.0504482 -0.287682 -0.200638 -14 -25.1113 -13 5 -10.4167 -11.2696 -8.3071 -9.19325 
-1.0102 0 -0.344821 0 0 -30.2028 -12 4 -5.64767 -11.1019 -7.22041 -9.29407 
-0.210506 -0.0539393 -0.0240981 -0.0298412 -16 -33.5077 -15 5 -3.31075 -9.66166 -6.7247 -12.9727 
-0.210506 -0.0721787 -0.0240981 -0.226441 -14 -31.6502 -13 5 -4.88168 -10.0456 -5.88426 -9.14192 
-0.0993729 -0.0357406 -0.00589939 -0.0298412 -16 -33.4965 -15 5 -3.73324 -9.64978 -6.36988 -12.8635 
-0.210506 -0.0608966 -0.0240981 -0.0367985 -16 -33.5078 -15 5 -3.39424 -9.66166 -7.15756 -13.4056 
-0.0993729 -0.05398 -0.00589939 -0.226441 -14 -31.639 -13 5 -5.30417 -10.0338 -5.52944 -9.03272 
-0.0993729 -0.0426979 -0.00589939 -0.0367985 -16 -33.4966 -15 5 -3.81673 -9.64978 -6.80274 -13.2964 
-1.93561 0 -0.428502 0 0 -30.1454 -13 4 -6.80057 -10.9739 -6.75583 -10.1221 
-0.210506 -5.94333 -0.0240981 -5.91923 -16 -25.6805 -12 5 -5.35085 -10.7298 -5.13161 -8.75297 
-0.210506 -0.0485339 -0.0240981 -0.202797 -14 -32.3419 -13 5 -5.16152 -10.0456 -4.65212 -8.53916 
-0.0993729 -5.92513 -0.00589939 -5.91923 -16 -25.6693 -12 5 -5.77334 -10.718 -4.77679 -8.64377 
-0.0993729 -0.0303352 -0.00589939 -0.202797 -14 -32.3307 -13 5 -5.58401 -10.0338 -4.2973 -8.42996 
-4.91965 -0.0200788 -0.00589939 -0.200638 -6 -28.028 -11 5 -8.48869 -11.2696 -4.05762 -5.99098 
