SCORES_TXT_BEGIN_0 0 47 9 BLEU
11 11 8 10 7 9 6 8 12 
11 12 8 11 7 10 6 9 12 
12 13 11 12 10 11 9 10 12 
10 11 6 10 4 9 2 8 12 
12 12 8 11 7 10 6 9 12 
10 11 6 10 5 9 4 8 12 
11 12 6 11 3 10 2 9 12 
12 12 8 11 5 10 4 9 12 
10 11 6 10 5 9 4 8 12 
10 11 5 10 3 9 2 8 12 
11 11 7 10 5 9 4 8 12 
10 11 6 10 5 9 4 8 12 
10 11 5 10 3 9 2 8 12 
11 11 7 10 5 9 4 8 12 
12 12 9 11 7 10 6 9 12 
10 12 6 11 4 10 2 9 12 
11 13 9 12 7 11 5 10 12 
11 13 6 12 3 11 2 10 12 
12 13 8 12 5 11 4 10 12 
12 14 11 13 10 12 9 11 12 
11 12 6 11 4 10 2 9 12 
10 12 5 11 3 10 2 9 12 
11 12 7 11 5 10 4 9 12 
11 12 8 11 7 10 6 9 12 
11 14 8 13 6 12 5 11 12 
10 12 5 11 3 10 2 9 12 
11 12 7 11 5 10 4 9 12 
12 14 10 13 8 12 7 11 12 
10 12 6 11 5 10 4 9 12 
12 14 11 13 10 12 9 11 12 
9 11 4 10 2 9 0 8 12 
11 11 8 10 7 9 6 8 12 
10 12 6 11 5 10 4 9 12 
11 13 9 12 7 11 5 10 12 
9 11 4 10 2 9 0 8 12 
11 13 8 12 6 11 5 10 12 
11 13 8 12 6 11 4 10 12 
12 14 6 13 3 12 2 11 12 
12 13 10 12 8 11 7 10 12 
12 14 8 13 5 12 4 11 12 
11 14 6 13 3 12 2 11 12 
12 14 8 13 5 12 4 11 12 
10 12 6 11 5 10 4 9 12 
11 13 8 12 6 11 5 10 12 
12 13 8 12 7 11 6 10 12 
11 13 9 12 7 11 5 10 12 
11 12 6 11 5 10 4 9 12 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 1 81 9 BLEU
8 8 6 7 5 6 4 5 10 
10 10 9 9 8 8 7 7 10 
9 10 8 9 7 8 6 7 10 
10 11 8 10 6 9 4 8 10 
9 11 7 10 5 9 4 8 10 
7 8 6 7 5 6 4 5 10 
9 12 7 11 5 10 4 9 10 
9 12 7 11 5 10 4 9 10 
10 12 8 11 6 10 4 9 10 
10 12 8 11 6 10 4 9 10 
9 13 7 12 5 11 4 10 10 
9 13 7 12 5 11 4 10 10 
7 9 6 8 5 7 4 6 10 
8 9 6 8 5 7 4 6 10 
10 13 8 12 6 11 4 10 10 
10 13 8 12 6 11 4 10 10 
7 7 4 6 2 5 1 4 10 
9 11 7 10 5 9 4 8 10 
9 11 7 10 5 9 4 8 10 
9 9 7 8 5 7 4 6 10 
9 9 7 8 5 7 4 6 10 
10 11 8 10 6 9 4 8 10 
7 8 4 7 2 6 1 5 10 
8 9 6 8 4 7 3 6 10 
10 11 8 10 6 9 4 8 10 
9 10 6 9 3 8 1 7 10 
9 10 7 9 5 8 4 7 10 
9 12 7 11 5 10 4 9 10 
9 14 8 13 7 12 6 11 10 
8 9 6 8 5 7 4 6 10 
8 10 5 9 2 8 1 7 10 
9 12 7 11 5 10 4 9 10 
9 14 8 13 7 12 6 11 10 
9 9 5 8 3 7 2 6 10 
10 11 8 10 6 9 4 8 10 
8 10 6 9 4 8 3 7 10 
9 11 7 10 5 9 3 8 10 
10 12 9 11 8 10 6 9 10 
10 12 8 11 6 10 4 9 10 
10 12 8 11 6 10 4 9 10 
9 11 6 10 3 9 1 8 10 
9 15 7 14 5 13 4 12 10 
9 15 7 14 5 13 4 12 10 
9 12 8 11 7 10 6 9 10 
10 11 8 10 6 9 4 8 10 
6 7 4 6 2 5 1 4 10 
8 9 6 8 5 7 4 6 10 
10 12 8 11 6 10 4 9 10 
8 11 5 10 2 9 1 8 10 
9 13 8 12 7 11 6 10 10 
9 11 7 10 5 9 4 8 10 
9 10 6 9 5 8 4 7 10 
8 8 4 7 3 6 2 5 10 
9 10 7 9 5 8 4 7 10 
9 13 8 12 7 11 6 10 10 
9 11 7 10 5 9 4 8 10 
9 9 5 8 3 7 1 6 10 
10 13 8 12 6 11 4 10 10 
9 12 7 11 5 10 4 9 10 
10 10 6 9 4 8 2 7 10 
8 11 5 10 2 9 1 8 10 
9 9 7 8 6 7 5 6 10 
8 11 5 10 2 9 1 8 10 
10 12 7 11 4 10 2 9 10 
9 12 6 11 3 10 2 9 10 
9 13 7 12 5 11 4 10 10 
9 14 7 13 5 12 4 11 10 
10 10 6 9 5 8 4 7 10 
7 8 4 7 2 6 1 5 10 
9 14 7 13 5 12 4 11 10 
6 8 4 7 2 6 1 5 10 
9 11 6 10 3 9 1 8 10 
9 11 6 10 3 9 1 8 10 
9 9 5 8 2 7 0 6 10 
7 7 3 6 1 5 0 4 10 
8 12 5 11 2 10 1 9 10 
8 9 4 8 1 7 0 6 10 
8 12 5 11 2 10 1 9 10 
9 10 7 9 5 8 3 7 10 
9 12 7 11 5 10 4 9 10 
9 9 6 8 5 7 4 6 10 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 2 100 9 BLEU
8 11 6 10 4 9 2 8 8 
8 11 6 10 4 9 2 8 8 
8 9 7 8 6 7 5 6 8 
7 7 4 6 3 5 2 4 8 
8 10 6 9 4 8 3 7 8 
8 12 5 11 2 10 0 9 8 
8 12 5 11 2 10 0 9 8 
7 9 6 8 5 7 4 6 8 
8 9 6 8 4 7 3 6 8 
7 10 5 9 4 8 3 7 8 
7 11 5 10 3 9 1 8 8 
7 11 5 10 3 9 1 8 8 
8 8 4 7 1 6 0 5 8 
8 11 5 10 2 9 0 8 8 
7 12 4 11 2 10 0 9 8 
8 11 5 10 2 9 0 8 8 
7 12 4 11 2 10 0 9 8 
8 12 6 11 4 10 2 9 8 
8 12 6 11 4 10 2 9 8 
8 10 7 9 6 8 5 7 8 
6 7 3 6 2 5 1 4 8 
7 9 5 8 4 7 3 6 8 
7 9 5 8 4 7 3 6 8 
7 7 3 6 1 5 0 4 8 
7 8 3 7 1 6 0 5 8 
7 11 4 10 2 9 0 8 8 
7 8 4 7 3 6 2 5 8 
8 9 6 8 4 7 3 6 8 
7 11 4 10 2 9 0 8 8 
7 11 4 10 2 9 0 8 8 
7 11 4 10 2 9 0 8 8 
8 11 5 10 2 9 0 8 8 
8 12 6 11 4 10 2 9 8 
8 12 6 11 4 10 2 9 8 
8 11 5 10 2 9 0 8 8 
7 8 5 7 4 6 3 5 8 
8 10 7 9 6 8 5 7 8 
7 8 5 7 4 6 3 5 8 
6 7 2 6 1 5 0 4 8 
7 7 3 6 1 5 0 4 8 
7 9 5 8 4 7 3 6 8 
7 10 4 9 2 8 0 7 8 
7 10 4 9 2 8 0 7 8 
8 8 4 7 3 6 2 5 8 
7 7 3 6 1 5 0 4 8 
7 11 4 10 2 9 0 8 8 
6 6 2 5 1 4 0 3 8 
7 10 6 9 5 8 4 7 8 
7 11 4 10 2 9 0 8 8 
6 6 2 5 1 4 0 3 8 
7 12 5 11 3 10 1 9 8 
7 12 5 11 3 10 1 9 8 
7 8 5 7 4 6 3 5 8 
8 12 6 11 4 10 3 9 8 
7 11 4 10 2 9 0 8 8 
7 11 4 10 2 9 0 8 8 
6 7 2 6 1 5 0 4 8 
8 12 6 11 4 10 3 9 8 
7 9 5 8 3 7 1 6 8 
7 10 4 9 2 8 0 7 8 
8 14 5 13 2 12 0 11 8 
7 10 6 9 5 8 4 7 8 
7 10 4 9 2 8 0 7 8 
8 14 5 13 2 12 0 11 8 
8 14 5 13 2 12 0 11 8 
8 10 6 9 5 8 4 7 8 
6 7 2 6 1 5 0 4 8 
6 8 3 7 2 6 1 5 8 
8 14 5 13 2 12 0 11 8 
8 12 6 11 4 10 2 9 8 
7 8 4 7 2 6 0 5 8 
8 10 6 9 4 8 3 7 8 
7 12 5 11 3 10 1 9 8 
7 12 5 11 4 10 3 9 8 
7 11 4 10 2 9 0 8 8 
8 12 5 11 3 10 1 9 8 
8 10 7 9 6 8 5 7 8 
7 11 4 10 2 9 0 8 8 
8 12 6 11 4 10 2 9 8 
7 12 5 11 3 10 1 9 8 
8 11 5 10 2 9 0 8 8 
8 11 6 10 4 9 3 8 8 
8 12 5 11 3 10 1 9 8 
7 12 5 11 4 10 3 9 8 
6 6 2 5 1 4 0 3 8 
7 7 3 6 2 5 1 4 8 
