"BehaviorSpace results (NetLogo 6.0.4)"
"main.nlogo"
"experiment"
"01/28/2023 15:05:05:459 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5"
,"1","12","13","1","10"
,"1","13","13","1","10"
,"1","13","15","1","10"
,"1","13","15","1","10"
,"1","13","15","1","10"
,"1","13","15","1","10"
,"1","13","15","1","10"
,"1","13","15","1","10"
,"1","14","15","1","10"
,"1","14","15","1","10"
,"1","14","15","1","10"
,"1","14","16","1","10"
,"2","14","16","1","10"
,"2","14","16","1","10"
,"2","14","16","1","10"
,"2","14","16","1","10"
,"2","14","16","1","10"
,"2","14","16","1","10"
,"2","14","16","1","10"
,"5","14","16","1","10"
,"5","14","16","1","10"
,"5","14","16","1","10"
,"5","14","17","1","10"
,"5","14","17","1","10"
,"5","14","17","1","10"
,"5","14","17","1","10"
,"8","14","17","1","10"
,"8","14","17","1","10"
,"8","14","17","1","10"
,"8","14","17","1","10"
,"8","16","17","1","10"
,"8","17","17","1","10"
,"8","17","17","1","10"
,"8","17","17","1","10"
,"8","17","17","1","10"
,"8","17","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","18","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","20","17","1","10"
,"8","23","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
,"8","24","17","1","10"
