kbmira with c=0.01 decay=0.999 no_shuffle=0
Initialising random seed from system clock
.....Initial BLEU = 0.880784
123/500 updates, avg loss = 0.516267, BLEU = 0.910471
90/500 updates, avg loss = 0.391962, BLEU = 0.911334
89/500 updates, avg loss = 0.365869, BLEU = 0.910978
80/500 updates, avg loss = 0.337257, BLEU = 0.912424
74/500 updates, avg loss = 0.3222, BLEU = 0.912675
74/500 updates, avg loss = 0.317287, BLEU = 0.912854
72/500 updates, avg loss = 0.318516, BLEU = 0.913778
74/500 updates, avg loss = 0.315681, BLEU = 0.913601
70/500 updates, avg loss = 0.307844, BLEU = 0.913601
67/500 updates, avg loss = 0.296523, BLEU = 0.913601
67/500 updates, avg loss = 0.288022, BLEU = 0.914272
68/500 updates, avg loss = 0.297431, BLEU = 0.914272
64/500 updates, avg loss = 0.289331, BLEU = 0.914157
61/500 updates, avg loss = 0.281636, BLEU = 0.915162
62/500 updates, avg loss = 0.281038, BLEU = 0.915162
59/500 updates, avg loss = 0.278343, BLEU = 0.915659
61/500 updates, avg loss = 0.289815, BLEU = 0.915659
65/500 updates, avg loss = 0.287371, BLEU = 0.914986
62/500 updates, avg loss = 0.286026, BLEU = 0.914986
58/500 updates, avg loss = 0.284219, BLEU = 0.914888
57/500 updates, avg loss = 0.25549, BLEU = 0.915302
56/500 updates, avg loss = 0.245856, BLEU = 0.915516
61/500 updates, avg loss = 0.262839, BLEU = 0.915516
58/500 updates, avg loss = 0.24712, BLEU = 0.915516
55/500 updates, avg loss = 0.229753, BLEU = 0.915939
55/500 updates, avg loss = 0.220842, BLEU = 0.915939
58/500 updates, avg loss = 0.267065, BLEU = 0.915939
55/500 updates, avg loss = 0.24117, BLEU = 0.915939
49/500 updates, avg loss = 0.218845, BLEU = 0.916361
52/500 updates, avg loss = 0.219479, BLEU = 0.916361
55/500 updates, avg loss = 0.222557, BLEU = 0.916821
50/500 updates, avg loss = 0.215181, BLEU = 0.916746
49/500 updates, avg loss = 0.214247, BLEU = 0.917112
52/500 updates, avg loss = 0.215369, BLEU = 0.917313
49/500 updates, avg loss = 0.216366, BLEU = 0.917313
51/500 updates, avg loss = 0.212445, BLEU = 0.916686
48/500 updates, avg loss = 0.188074, BLEU = 0.917244
51/500 updates, avg loss = 0.201399, BLEU = 0.916746
53/500 updates, avg loss = 0.218591, BLEU = 0.916746
49/500 updates, avg loss = 0.201334, BLEU = 0.916746
51/500 updates, avg loss = 0.201382, BLEU = 0.916746
50/500 updates, avg loss = 0.205584, BLEU = 0.916746
48/500 updates, avg loss = 0.196892, BLEU = 0.916746
48/500 updates, avg loss = 0.190516, BLEU = 0.916746
46/500 updates, avg loss = 0.181879, BLEU = 0.916746
47/500 updates, avg loss = 0.205155, BLEU = 0.917094
44/500 updates, avg loss = 0.179029, BLEU = 0.917094
49/500 updates, avg loss = 0.198103, BLEU = 0.917094
47/500 updates, avg loss = 0.18389, BLEU = 0.917094
45/500 updates, avg loss = 0.189454, BLEU = 0.917094
41/500 updates, avg loss = 0.17424, BLEU = 0.917094
41/500 updates, avg loss = 0.175041, BLEU = 0.917094
45/500 updates, avg loss = 0.188474, BLEU = 0.917094
44/500 updates, avg loss = 0.17899, BLEU = 0.917094
44/500 updates, avg loss = 0.19437, BLEU = 0.917094
46/500 updates, avg loss = 0.188198, BLEU = 0.917094
40/500 updates, avg loss = 0.161069, BLEU = 0.917094
44/500 updates, avg loss = 0.170418, BLEU = 0.917094
44/500 updates, avg loss = 0.17727, BLEU = 0.917094
44/500 updates, avg loss = 0.168025, BLEU = 0.917094
Best BLEU = 0.917313
