kbmira with c=0.01 decay=0.999 no_shuffle=0
Initialising random seed from system clock
.....Initial BLEU = 0.912895
154/500 updates, avg loss = 0.731679, BLEU = 0.910121
104/500 updates, avg loss = 0.455577, BLEU = 0.91171
91/500 updates, avg loss = 0.380856, BLEU = 0.910306
88/500 updates, avg loss = 0.37123, BLEU = 0.911891
81/500 updates, avg loss = 0.350588, BLEU = 0.911891
78/500 updates, avg loss = 0.33578, BLEU = 0.911713
73/500 updates, avg loss = 0.316034, BLEU = 0.911536
68/500 updates, avg loss = 0.298288, BLEU = 0.912731
66/500 updates, avg loss = 0.295976, BLEU = 0.912715
64/500 updates, avg loss = 0.265498, BLEU = 0.913805
62/500 updates, avg loss = 0.278504, BLEU = 0.913805
63/500 updates, avg loss = 0.262433, BLEU = 0.914035
59/500 updates, avg loss = 0.243504, BLEU = 0.914035
58/500 updates, avg loss = 0.226663, BLEU = 0.914035
59/500 updates, avg loss = 0.227678, BLEU = 0.914035
56/500 updates, avg loss = 0.221315, BLEU = 0.914035
56/500 updates, avg loss = 0.221325, BLEU = 0.913784
55/500 updates, avg loss = 0.224227, BLEU = 0.913962
52/500 updates, avg loss = 0.214904, BLEU = 0.913962
52/500 updates, avg loss = 0.214738, BLEU = 0.913962
49/500 updates, avg loss = 0.210759, BLEU = 0.913962
50/500 updates, avg loss = 0.202268, BLEU = 0.913962
51/500 updates, avg loss = 0.208555, BLEU = 0.913962
52/500 updates, avg loss = 0.201055, BLEU = 0.913962
48/500 updates, avg loss = 0.197485, BLEU = 0.913962
45/500 updates, avg loss = 0.204469, BLEU = 0.913962
53/500 updates, avg loss = 0.205736, BLEU = 0.914763
46/500 updates, avg loss = 0.20307, BLEU = 0.914763
48/500 updates, avg loss = 0.199435, BLEU = 0.914763
51/500 updates, avg loss = 0.201852, BLEU = 0.914763
49/500 updates, avg loss = 0.198641, BLEU = 0.915512
48/500 updates, avg loss = 0.18741, BLEU = 0.915512
49/500 updates, avg loss = 0.18034, BLEU = 0.915512
44/500 updates, avg loss = 0.187282, BLEU = 0.915512
46/500 updates, avg loss = 0.191641, BLEU = 0.914884
43/500 updates, avg loss = 0.176673, BLEU = 0.914884
45/500 updates, avg loss = 0.171424, BLEU = 0.914884
45/500 updates, avg loss = 0.169202, BLEU = 0.914884
41/500 updates, avg loss = 0.176222, BLEU = 0.914884
42/500 updates, avg loss = 0.164461, BLEU = 0.914884
40/500 updates, avg loss = 0.159162, BLEU = 0.914884
43/500 updates, avg loss = 0.169084, BLEU = 0.914884
41/500 updates, avg loss = 0.163347, BLEU = 0.914884
40/500 updates, avg loss = 0.167604, BLEU = 0.914884
40/500 updates, avg loss = 0.159064, BLEU = 0.914884
44/500 updates, avg loss = 0.167581, BLEU = 0.914884
42/500 updates, avg loss = 0.156861, BLEU = 0.914884
40/500 updates, avg loss = 0.163592, BLEU = 0.914884
40/500 updates, avg loss = 0.161384, BLEU = 0.914884
39/500 updates, avg loss = 0.160525, BLEU = 0.914884
38/500 updates, avg loss = 0.160734, BLEU = 0.914884
40/500 updates, avg loss = 0.169598, BLEU = 0.914884
43/500 updates, avg loss = 0.159627, BLEU = 0.914884
42/500 updates, avg loss = 0.163716, BLEU = 0.914136
41/500 updates, avg loss = 0.158171, BLEU = 0.914136
41/500 updates, avg loss = 0.157871, BLEU = 0.914136
37/500 updates, avg loss = 0.152812, BLEU = 0.914136
40/500 updates, avg loss = 0.157068, BLEU = 0.914136
41/500 updates, avg loss = 0.166034, BLEU = 0.914136
38/500 updates, avg loss = 0.156093, BLEU = 0.914136
Best BLEU = 0.915512
