kbmira with c=0.01 decay=0.999 no_shuffle=0
Initialising random seed from system clock
.....Initial BLEU = 0.91589
168/500 updates, avg loss = 0.864306, BLEU = 0.912079
108/500 updates, avg loss = 0.47614, BLEU = 0.911694
92/500 updates, avg loss = 0.39164, BLEU = 0.91171
86/500 updates, avg loss = 0.357116, BLEU = 0.912517
77/500 updates, avg loss = 0.327186, BLEU = 0.911713
77/500 updates, avg loss = 0.316786, BLEU = 0.911713
70/500 updates, avg loss = 0.298841, BLEU = 0.912908
68/500 updates, avg loss = 0.273062, BLEU = 0.912908
60/500 updates, avg loss = 0.255611, BLEU = 0.913324
64/500 updates, avg loss = 0.259827, BLEU = 0.913324
61/500 updates, avg loss = 0.254332, BLEU = 0.913324
63/500 updates, avg loss = 0.243101, BLEU = 0.913324
58/500 updates, avg loss = 0.21529, BLEU = 0.913324
54/500 updates, avg loss = 0.219616, BLEU = 0.913324
58/500 updates, avg loss = 0.22944, BLEU = 0.913875
60/500 updates, avg loss = 0.23326, BLEU = 0.913875
57/500 updates, avg loss = 0.228256, BLEU = 0.913875
53/500 updates, avg loss = 0.218829, BLEU = 0.913875
53/500 updates, avg loss = 0.223727, BLEU = 0.914089
53/500 updates, avg loss = 0.208739, BLEU = 0.914089
52/500 updates, avg loss = 0.20649, BLEU = 0.914089
52/500 updates, avg loss = 0.210878, BLEU = 0.914089
56/500 updates, avg loss = 0.210293, BLEU = 0.914089
52/500 updates, avg loss = 0.20561, BLEU = 0.914089
51/500 updates, avg loss = 0.211434, BLEU = 0.914089
51/500 updates, avg loss = 0.195072, BLEU = 0.914838
48/500 updates, avg loss = 0.184365, BLEU = 0.915512
49/500 updates, avg loss = 0.209725, BLEU = 0.915512
49/500 updates, avg loss = 0.178575, BLEU = 0.915512
47/500 updates, avg loss = 0.200005, BLEU = 0.915512
45/500 updates, avg loss = 0.172684, BLEU = 0.915512
46/500 updates, avg loss = 0.177757, BLEU = 0.915512
43/500 updates, avg loss = 0.174347, BLEU = 0.915512
44/500 updates, avg loss = 0.168652, BLEU = 0.915512
46/500 updates, avg loss = 0.163654, BLEU = 0.915512
42/500 updates, avg loss = 0.16884, BLEU = 0.915512
43/500 updates, avg loss = 0.175974, BLEU = 0.916518
43/500 updates, avg loss = 0.162604, BLEU = 0.916518
39/500 updates, avg loss = 0.16847, BLEU = 0.916518
44/500 updates, avg loss = 0.172487, BLEU = 0.916518
42/500 updates, avg loss = 0.154451, BLEU = 0.916518
37/500 updates, avg loss = 0.158186, BLEU = 0.916518
39/500 updates, avg loss = 0.162174, BLEU = 0.916518
43/500 updates, avg loss = 0.168809, BLEU = 0.91589
41/500 updates, avg loss = 0.159235, BLEU = 0.91589
40/500 updates, avg loss = 0.165847, BLEU = 0.91589
40/500 updates, avg loss = 0.163217, BLEU = 0.91589
41/500 updates, avg loss = 0.158291, BLEU = 0.91589
40/500 updates, avg loss = 0.16416, BLEU = 0.91589
40/500 updates, avg loss = 0.165331, BLEU = 0.91589
37/500 updates, avg loss = 0.159167, BLEU = 0.91589
39/500 updates, avg loss = 0.161639, BLEU = 0.91589
39/500 updates, avg loss = 0.158058, BLEU = 0.91589
38/500 updates, avg loss = 0.160634, BLEU = 0.91589
39/500 updates, avg loss = 0.157565, BLEU = 0.91589
39/500 updates, avg loss = 0.166643, BLEU = 0.91589
42/500 updates, avg loss = 0.157029, BLEU = 0.91589
39/500 updates, avg loss = 0.160495, BLEU = 0.91589
40/500 updates, avg loss = 0.157949, BLEU = 0.91589
37/500 updates, avg loss = 0.157579, BLEU = 0.91589
Best BLEU = 0.916518
